ID,Reached.on.Time_Y.N
3980,0.6409488
8726,0.30475777
3316,0.39245567
6340,0.43727207
7554,0.53908336
3506,0.21621934
384,0.9998702
10343,0.33232173
7891,0.43426174
4283,0.44589072
6920,0.77587825
4490,0.6141727
4927,0.718876
8947,0.39428672
1959,0.9994307
5132,0.41126215
9075,0.31584057
1061,0.9996704
766,0.99978644
3808,0.37374568
6480,0.28186825
8061,0.45746875
4616,0.32443607
614,0.9997173
2407,0.9995449
8509,0.17965685
7420,0.39233592
4637,0.4363377
7881,0.4997904
6865,0.6937603
960,0.9998117
3242,0.6204688
7607,0.5315752
6031,0.07145577
8444,0.60203725
9082,0.6999649
5518,0.6901675
4297,0.16667229
10260,0.1446872
2157,0.9700271
6477,0.7424145
4884,0.69390684
7144,0.3326014
5355,0.23788744
10531,0.20623726
9312,0.50986487
7575,0.34104753
9433,0.35102773
3229,0.30551115
5754,0.65043014
7938,0.6670451
8773,0.13915733
6251,0.48385277
2534,0.99981934
5730,0.5909261
8331,0.28324932
1943,0.9997969
693,0.9998418
4716,0.4137999
2101,0.999361
3904,0.5447605
8975,0.62991065
1726,0.9906228
7037,0.114579976
7463,0.69056433
8697,0.42533875
1283,0.9998443
7322,0.62002504
1309,0.9996456
1963,0.9994147
2328,0.9997484
10618,0.35580537
10101,0.40125722
2988,0.719171
1400,0.9985312
2691,0.9998994
4617,0.48983943
2086,0.9997304
5406,0.26288018
434,0.99990284
8541,0.5327293
206,0.9986059
8523,0.36853924
9046,0.3434744
616,0.999154
8527,0.32072094
7461,0.38220528
2340,0.9998895
9583,0.2655977
6006,0.60801023
7459,0.32854936
8881,0.11931006
5312,0.12837915
4118,0.40131193
5620,0.373067
5354,0.35981163
9169,0.25507882
9445,0.12780076
6232,0.43248034
1562,0.9997166
2960,0.9997943
3747,0.7503059
3226,0.7077034
10410,0.3740218
6665,0.64377695
2662,0.99984753
7236,0.42014322
7893,0.022885453
7838,0.401666
8684,0.39809382
3984,0.53493387
8414,0.56083935
5905,0.4863561
732,0.99995446
9776,0.34105176
865,0.9948443
3727,0.35445783
374,0.99984896
79,0.9998671
9633,0.923668
3221,0.33911502
8856,0.6093487
516,0.99977094
9821,0.5912497
1721,0.9997323
9993,0.5424299
7210,0.54807323
2455,0.9997969
9442,0.53020614
1406,0.99985766
10928,0.4405889
1177,0.99832255
3778,0.2187183
8627,0.0934902
3625,0.14237253
2693,0.9999031
6781,0.40714592
7669,0.659293
9555,0.37090313
6612,0.6617873
5332,0.25270668
1432,0.9997731
2817,0.999874
1173,0.9999471
2104,0.9998122
5060,0.6148383
6496,0.5985259
837,0.999841
5645,0.4075743
6754,0.21563071
3034,0.9997491
29,0.9996872
10796,0.1677145
3371,0.24777538
1843,0.99994123
4541,0.6846168
10360,0.46840066
1923,0.99971336
797,0.99975103
7895,0.6011067
5064,0.21422948
8801,0.53977925
9118,0.4188379
3140,0.7063637
7164,0.31804743
7710,0.41564986
8910,0.7511031
769,0.86473906
5667,0.08382837
5953,0.09332689
5170,0.4685881
1172,0.99963737
10825,0.48079118
1978,0.9997069
10606,0.39886713
8594,0.30204135
6586,0.53608835
9845,0.2258325
4081,0.37841827
6808,0.4064393
6075,0.5978891
4907,0.48892692
1158,0.9999478
5501,0.80823135
1431,0.60869163
9360,0.4475258
9896,0.02030061
5944,0.22214808
7152,0.21697205
7542,0.18648615
7303,0.4730055
5711,0.35041493
9093,0.7578167
2282,0.9999018
3663,0.542863
9368,0.7936297
4599,0.5722293
10235,0.32109508
1141,0.96772486
6451,0.5240273
3339,0.38759798
6613,0.28201842
3108,0.9997278
7219,0.28920212
5640,0.2561457
5029,0.9278923
10871,0.187675
4467,0.15531994
2064,0.9999443
7809,0.25716546
1254,0.9998896
3146,0.2280892
3374,0.64719635
2592,0.99965334
3959,0.58257854
10679,0.36246836
282,0.9992506
1859,0.9999305
5674,0.28152248
9410,0.17684552
5050,0.41132563
3301,0.60116136
10640,0.6479544
7040,0.6782541
8512,0.50252044
1413,0.9224156
2692,0.999188
5016,0.5417623
9816,0.38892102
7915,0.27477592
8420,0.33144692
5758,0.24521296
10936,0.2494291
3964,0.5963366
1148,0.99987435
1398,0.99974126
2008,0.99993587
6388,0.19298536
7027,0.27366918
202,0.9988815
10912,0.35719442
2258,0.7021272
1575,0.9996853
8247,0.8644401
4912,0.34971094
10918,0.48931268
9395,0.75281763
2561,0.9917319
1132,0.999463
6503,0.65709436
5120,0.18033086
7355,0.39730746
851,0.9653648
10604,0.4670722
10129,0.43253186
7506,0.8346295
1919,0.9998969
10016,0.5871898
5707,0.5909066
9456,0.524299
3440,0.36154047
5669,0.42270264
2718,0.8466365
10948,0.32862592
4627,0.5539274
6723,0.17932335
1597,0.99995136
6152,0.49129555
7991,0.5907191
6460,0.4579103
1340,0.9998827
4152,0.35089275
8066,0.8094727
4707,0.2218513
8011,0.7342982
425,0.9997019
2053,0.9995403
9308,0.24827921
1512,0.9997607
8837,0.40356848
848,0.9997204
5137,0.31217393
9965,0.17694578
1274,0.9999583
1284,0.9998474
1659,0.99987614
9783,0.32180497
2886,0.99977404
300,0.9999248
10340,0.51826286
338,0.9891634
7090,0.23938048
5353,0.579497
8221,0.13267499
87,0.99989474
2834,0.99904555
5575,0.31248417
8120,0.47061485
3155,0.2971313
4679,0.32363847
6319,0.26304638
7098,0.18613394
105,0.9901059
5776,0.7213086
953,0.994114
3568,0.41638166
4096,0.5471623
8698,0.32224914
5320,0.64773667
9671,0.578857
2076,0.9999193
7775,0.39537328
4138,0.6426449
3131,0.999637
2365,0.9015051
6804,0.6191564
1875,0.99962413
9588,0.36183164
3049,0.99975413
185,0.9998708
5626,0.062898636
5345,0.49588096
5522,0.23744078
5443,0.33322302
1200,0.99868864
4478,0.31691685
1952,0.99943775
1170,0.99986017
8289,0.21503636
8768,0.23757505
6825,0.14762615
203,0.99986184
10777,0.37890944
8863,0.4759535
336,0.99955994
1163,0.9997961
10398,0.3645639
5241,0.4385361
8972,0.26001954
3112,0.9998305
6782,0.23606163
1550,0.99876237
7058,0.4766023
2962,0.99992335
10933,0.6988596
10250,0.17310609
9257,0.3056914
3572,0.63640213
9817,0.17974411
220,0.99979943
6803,0.30198374
3309,0.66026783
289,0.99966323
4167,0.47546253
10860,0.6803779
3342,0.46966198
9999,0.3086447
1388,0.9995529
4667,0.24996626
1510,0.9998803
7928,0.38579595
1441,0.99981517
8481,0.69828886
450,0.999759
2296,0.99980074
5208,0.0707098
2913,0.99993014
584,0.9999378
6577,0.47246072
3189,0.28241006
10105,0.63585526
7959,0.43547332
3520,0.42169458
4470,0.2081716
832,0.99989796
4141,0.34164128
7456,0.5500579
7276,0.5836045
10323,0.71018416
1534,0.9999076
5835,0.31410798
10395,0.43159267
2161,0.99973387
2048,0.9997093
3070,0.96961033
1149,0.9997621
9153,0.524803
10441,0.48838863
8949,0.4659789
4412,0.46764794
4042,0.446815
2928,0.99989665
5850,0.6631335
1733,0.9994374
3670,0.3082157
5217,0.69842887
3930,0.2318323
3823,0.35843202
9631,0.29511124
3068,0.83937645
787,0.99990845
5117,0.2741337
9832,0.6022291
2599,0.9998129
4148,0.35016984
4650,0.38052353
6891,0.60232157
10549,0.1466452
1581,0.99983466
7981,0.2834532
10188,0.480375
1807,0.9999565
3389,0.19356167
9925,0.33961987
5945,0.11862592
10688,0.406337
3126,0.9999188
3211,0.2720742
590,0.9981522
9858,0.48478493
9439,0.301867
1134,0.999793
4534,0.3339629
9795,0.5326696
1005,0.9980862
3295,0.51709855
6937,0.5489179
8591,0.24180661
1907,0.9997174
3348,0.24316797
5790,0.58763933
8358,0.30397305
9262,0.7381192
10607,0.48198065
2759,0.9997087
3461,0.12825309
8125,0.16961217
10802,0.26499805
1527,0.99986196
6308,0.5451383
8932,0.45903754
3851,0.57255554
1174,0.724314
7123,0.23320833
10206,0.2653461
5715,0.54093945
3654,0.4371821
7445,0.7705098
9826,0.20731393
9268,0.6410229
7985,0.7862105
6392,0.560049
10137,0.15544581
1417,0.9848378
6977,0.05822743
2997,0.99992716
4825,0.47348538
6218,0.4550175
8915,0.58507335
7586,0.48243624
8900,0.27023643
8214,0.53867817
950,0.99981624
10536,0.59723246
1488,0.9382874
10831,0.3931937
7964,0.12145017
7692,0.5125843
4759,0.6931674
4380,0.29562032
1267,0.99978954
1863,0.9998958
4731,0.3297351
10799,0.14921547
575,0.99988055
1750,0.9999176
7996,0.43818405
8791,0.37674943
2348,0.9998
5805,0.47521946
4863,0.52826524
378,0.99978787
6071,0.49255756
1860,0.9997459
10174,0.3274842
3039,0.97301936
1662,0.7822166
8691,0.5503372
6055,0.45333594
4660,0.8722196
1773,0.9999242
4374,0.39447704
4161,0.4496862
4289,0.3313158
997,0.99988806
9672,0.4696627
8534,0.6122672
10465,0.419709
1130,0.99973506
1687,0.99988806
8154,0.4660199
1208,0.99941456
4876,0.6047227
7451,0.4931027
9914,0.52445906
1589,0.9998617
3315,0.2176096
1858,0.8475684
3521,0.6671416
9951,0.67998075
10847,0.64850235
8244,0.39134082
9596,0.37258303
7566,0.36489457
8736,0.26848203
4395,0.56245404
3956,0.37953225
10588,0.604048
10966,0.4480421
7476,0.62235624
7794,0.42223498
2709,0.8768622
2456,0.9996352
4321,0.7422455
2005,0.99972814
4493,0.40546834
2049,0.9998228
3437,0.48541453
873,0.9987149
1782,0.99977654
852,0.99991965
4373,0.3029015
9296,0.258003
5768,0.63188434
6294,0.34025598
9340,0.035653
8432,0.52288
4401,0.44362116
77,0.99991846
8690,0.45129347
10408,0.3932908
1244,0.9995615
5901,0.40584508
9923,0.6400911
3218,0.24418718
1525,0.99986863
10229,0.34989104
7278,0.41471535
8638,0.47966522
9879,0.5371598
1374,0.9999243
7258,0.59521484
5889,0.2402558
2825,0.9997558
5756,0.24303196
9325,0.34457868
1425,0.99985373
5435,0.45791015
8174,0.24439113
3375,0.17220356
5510,0.545839
10258,0.5440191
2222,0.8496321
7559,0.55313355
5836,0.4424272
8688,0.46822673
361,0.99978405
2059,0.9998894
7647,0.16389385
3072,0.99976975
1711,0.9999033
4494,0.36947203
2285,0.9995435
5182,0.4971826
139,0.99932635
1199,0.9998838
7909,0.31451356
8111,0.61206526
9608,0.5877177
9091,0.5079275
8471,0.20060731
404,0.99962234
5298,0.17720443
2249,0.99989367
10109,0.43101564
3998,0.3461211
7932,0.5362524
6252,0.6577403
8943,0.355444
6971,0.74566555
4936,0.18964612
1660,0.9995302
2953,0.9551194
8909,0.80616355
7687,0.5128828
3644,0.8618686
4070,0.22419588
228,0.99993
4108,0.6512162
6611,0.3005784
4330,0.46945453
8491,0.30044085
706,0.9999901
5718,0.2294933
9191,0.3015492
1996,0.99987805
5813,0.31229606
6822,0.31515923
5792,0.37338737
3395,0.5192522
5546,0.37355274
7053,0.55141383
4512,0.64800286
1835,0.99978834
2897,0.999726
6976,0.61510694
6202,0.43739745
4527,0.57565546
8140,0.5353056
586,0.9903266
7721,0.80928695
4674,0.42325705
5479,0.39878604
1111,0.9998808
7816,0.9338595
5149,0.41872314
2519,0.9787676
5871,0.2029969
1446,0.99966574
4816,0.9277369
4499,0.29209164
7807,0.68642795
7212,0.28807458
10033,0.29807553
6139,0.1628822
1195,0.9999372
688,0.99992585
8763,0.5142831
768,0.99978274
7581,0.3354072
6647,0.3237533
502,0.97303456
4997,0.6335252
5540,0.6199986
4920,0.28405154
1630,0.9994773
10369,0.28485632
1936,0.99985874
10036,0.77924806
712,0.99994123
7068,0.3956602
6045,0.67281705
5663,0.711919
9246,0.6747941
2298,0.99977785
10083,0.53327334
4015,0.3520746
2548,0.99987686
9632,0.74478626
6774,0.20384206
1073,0.99216765
8278,0.49196932
1940,0.9998203
4259,0.24661334
6910,0.6876755
4422,0.41057965
9652,0.48276034
6167,0.3833236
10102,0.3424027
2596,0.9997856
5027,0.50510085
9917,0.08253285
7207,0.43566284
3235,0.6155421
7353,0.49863473
7288,0.39603803
4765,0.56150496
2836,0.9999422
4061,0.3778384
4858,0.61888343
7720,0.5757729
4053,0.62952673
8346,0.2596491
9041,0.26858452
9657,0.26744252
5278,0.6996511
3267,0.43651408
2170,0.99978644
2428,0.99987197
6064,0.77725154
7328,0.21726273
10055,0.520116
6559,0.38865125
4190,0.244143
7373,0.21486174
7912,0.36534908
7684,0.64211774
4434,0.34791502
3044,0.9995828
161,0.9995647
5579,0.53789186
4750,0.45771796
9630,0.4573152
6939,0.57084334
1950,0.9996605
3720,0.4085756
4473,0.31509814
525,0.9999342
10771,0.56671375
10514,0.5117844
7849,0.5492797
7395,0.33071834
7427,0.13932933
8369,0.23628531
3517,0.42159015
6336,0.27754274
9293,0.2960699
854,0.95501703
359,0.9994112
9856,0.64545655
10426,0.16634619
9344,0.37238684
5997,0.40419522
7688,0.39361537
352,0.9998722
8716,0.3824447
116,0.9997396
4509,0.40238586
5376,0.5206866
4003,0.3709431
5390,0.42277637
1871,0.9997725
10308,0.5590698
3643,0.38338318
9121,0.15174504
8687,0.20047107
143,0.99946505
5665,0.4616619
3311,0.60262835
10324,0.19210203
6923,0.2535171
10770,0.6006727
5543,0.5255016
10598,0.36944422
2929,0.9992879
6038,0.6581573
3873,0.07083644
5491,0.27724552
1188,0.99977046
9706,0.117830545
10448,0.4033083
8734,0.4763066
2260,0.9997923
6549,0.505745
9861,0.35997516
8016,0.5380984
2263,0.99876654
7500,0.4854111
6749,0.6251079
6322,0.13689129
2998,0.9996573
2942,0.9993753
1350,0.9312622
7384,0.5377407
1965,0.9997459
306,0.99978906
2154,0.99986076
2606,0.9998109
3412,0.41246375
9334,0.2281956
5647,0.36577424
4356,0.28607467
10241,0.31805384
3096,0.9995603
2042,0.99971956
4543,0.70445436
3686,0.44327122
8230,0.2554803
4933,0.40870214
3796,0.33636305
1759,0.9994592
5924,0.72931546
9482,0.46374366
6237,0.43471813
2357,0.99908626
564,0.99987173
3169,0.35380507
2843,0.9999206
1752,0.9491233
8562,0.5554965
5808,0.26320156
7752,0.52952486
6163,0.33327535
7972,0.09545473
2912,0.9997764
432,0.99989986
2536,0.9998603
10378,0.43778506
5528,0.38340947
9175,0.22600949
3186,0.72670424
3842,0.28822732
9736,0.6369272
1797,0.9998267
4963,0.56991696
7655,0.23126635
3542,0.39015943
1669,0.9997913
115,0.99982244
1742,0.9998211
10484,0.6194744
9824,0.63325363
3861,0.054787826
2211,0.9998492
5729,0.1383201
7132,0.47697762
4491,0.3130465
6376,0.644812
10189,0.47414336
3726,0.4005995
10846,0.49618378
4249,0.4877793
1358,0.9998073
634,0.99951816
7635,0.43589675
9562,0.4483315
3145,0.36819485
10482,0.41887492
10780,0.35481656
5535,0.48861107
741,0.9996896
295,0.9996748
2574,0.9999329
316,0.99986947
9837,0.31491765
7874,0.55583763
565,0.99992454
8200,0.5396643
4355,0.30670318
9787,0.38977775
8211,0.31807613
5145,0.69250166
548,0.9648779
3360,0.26816422
3245,0.24433862
5745,0.16049814
1069,0.99971527
4844,0.567192
1273,0.999859
4025,0.29573825
1169,0.99968576
9597,0.5023534
4232,0.21264382
2510,0.9998795
4426,0.5431706
8724,0.44689506
8987,0.33532977
8004,0.057646513
5909,0.451685
5922,0.46268803
7525,0.5255272
6113,0.4472789
6216,0.2982381
10895,0.35408476
572,0.99976426
2459,0.9997906
677,0.9998473
9780,0.37235788
10211,0.44049814
5536,0.6081043
4220,0.7045708
6217,0.51181054
5949,0.30591866
9004,0.512945
3341,0.3457237
4697,0.4385482
1599,0.999944
10778,0.39434576
8905,0.6106554
9778,0.33476195
4063,0.18694796
9855,0.08402556
6396,0.5496027
2251,0.9997336
1230,0.9998709
10134,0.13665515
2033,0.9997347
5015,0.18942727
1563,0.9998497
9461,0.6873678
9963,0.2986172
7876,0.57068527
4692,0.354606
753,0.9997652
10932,0.38207367
10463,0.44673094
6129,0.6853164
5755,0.4066248
7039,0.45903102
5039,0.39238203
3075,0.99979526
8572,0.49567387
1298,0.99984443
3935,0.51584315
7421,0.29004028
3706,0.35680944
5988,0.2209576
6627,0.43962815
827,0.9998797
8539,0.31933394
1734,0.9998229
4052,0.83397037
7942,0.5970193
4668,0.37432885
9111,0.5415036
6913,0.44554383
1601,0.99983263
3279,0.27541995
5816,0.521727
8086,0.36195716
2546,0.989592
7235,0.49685183
6307,0.6059592
4736,0.16069007
3608,0.6338992
8971,0.4048167
5848,0.6525939
2753,0.99987006
7627,0.49782228
8828,0.27362823
5939,0.5361913
5,0.999818
6498,0.6075371
627,0.9999355
2612,0.99978095
10477,0.23964179
6655,0.454694
3865,0.32454133
4685,0.6756885
749,0.99987066
657,0.9998547
2019,0.984121
1226,0.9372777
8549,0.17089945
4233,0.53444046
10836,0.699575
2531,0.99979264
5590,0.49016196
3175,0.3493524
9894,0.38114217
6437,0.18363371
4539,0.4600434
8282,0.34998357
4076,0.57805216
955,0.99988925
130,0.99940884
1472,0.9810503
9627,0.2943778
4324,0.5075757
7723,0.03738015
3119,0.9125787
4601,0.5161338
1347,0.9998275
9560,0.3997054
2801,0.9998853
1887,0.99941087
916,0.9882323
1031,0.9998858
1337,0.9997116
7299,0.6402074
3062,0.99978465
418,0.99977106
2966,0.99990344
10564,0.64793265
8436,0.35117587
6028,0.47465423
6818,0.060382456
9479,0.23325232
2568,0.9997008
8528,0.5112427
1449,0.8920705
4802,0.3400561
1453,0.999876
2311,0.99955136
4605,0.2434974
1725,0.91566163
3174,0.54610384
5902,0.6644286
1137,0.9998691
1749,0.9997737
5598,0.33563405
9352,0.4179708
10243,0.3755541
303,0.9998191
6445,0.13277197
10921,0.45376578
7660,0.41991726
2901,0.99179685
10008,0.2936911
8997,0.25869042
762,0.9998233
8505,0.26246575
2934,0.9993197
9872,0.41416082
1626,0.9996482
8708,0.3492603
7639,0.5874785
1224,0.99965453
5806,0.31632003
3288,0.2582118
7257,0.81901973
4773,0.45576894
1089,0.9999418
3677,0.48839757
5690,0.6186889
10518,0.3574617
5118,0.5613045
6104,0.643978
701,0.9994967
6730,0.48778322
3804,0.3794141
6346,0.5869515
3265,0.42308822
3274,0.30792138
3333,0.29945746
4485,0.3599033
10975,0.23503321
7057,0.64054286
9907,0.60399616
2849,0.9998221
2572,0.99807477
2889,0.9998235
8545,0.342526
7843,0.38090727
2178,0.9999529
3135,0.5899432
3781,0.56260145
783,0.99977905
179,0.8451266
5971,0.51469666
4069,0.44996622
9579,0.45522022
2991,0.98849094
10176,0.34027663
3183,0.18676122
9304,0.35426757
7619,0.57631135
2020,0.9997807
1146,0.99981874
9920,0.42693245
3864,0.29107454
9176,0.35777655
7540,0.7870166
4019,0.31776476
684,0.99971503
9299,0.54014975
1680,0.99979526
6427,0.44495317
8656,0.32311118
7774,0.36687735
2036,0.9991166
6695,0.6465451
9507,0.15753213
2925,0.99883467
9450,0.23367406
8907,0.33275536
8096,0.2596493
10431,0.5954657
7275,0.65900254
10218,0.6167652
1248,0.9999368
10697,0.33023906
4656,0.21145132
2837,0.9998636
4651,0.58558697
10417,0.396032
2082,0.99961096
10351,0.46877754
4518,0.35516936
10201,0.38923055
36,0.99976236
8797,0.19984797
2273,0.9996804
3651,0.32439026
5975,0.3262333
4799,0.2895309
8897,0.1517928
5125,0.5349136
4754,0.26583678
10571,0.46142173
6708,0.34659103
6177,0.17059784
755,0.9997733
4819,0.4312448
10736,0.40110725
6786,0.21523614
5938,0.4155927
4223,0.5164521
1838,0.9997732
6799,0.6048134
1566,0.9998783
6227,0.41370493
6352,0.19052291
9373,0.7003419
4155,0.39943555
272,0.99980456
3164,0.42692488
8416,0.43546194
6018,0.040004402
1376,0.999894
10012,0.4100068
5100,0.36139348
8024,0.50045377
6009,0.44004142
1870,0.9998789
5830,0.22007762
4172,0.37660128
6896,0.43111902
9830,0.8544665
9061,0.51974225
7029,0.35241655
8433,0.30201957
10289,0.4545213
10547,0.54609036
4795,0.38618916
1509,0.9999188
9933,0.42778015
344,0.99972206
4136,0.6487134
6555,0.13792047
81,0.99898154
1213,0.9999144
6574,0.29237047
4714,0.17761834
1594,0.9990029
8353,0.57138735
4420,0.92362666
1380,0.9996772
957,0.99991524
1249,0.9998087
7555,0.03500805
5094,0.25556874
5188,0.45820183
9214,0.60920644
4590,0.25616398
8309,0.39192584
5300,0.69067657
5605,0.47153035
4256,0.42686945
4021,0.5167434
313,0.9998573
1021,0.99990535
4853,0.39391282
4134,0.41677243
10172,0.7243274
455,0.99986327
9519,0.46729463
4951,0.47916722
10922,0.2431942
2135,0.9997658
1578,0.99970776
394,0.9998233
1793,0.99978787
8258,0.44121104
8095,0.4398298
6992,0.29194897
6569,0.098416165
9691,0.29757005
3565,0.16461141
5135,0.28912234
10905,0.57395035
2377,0.99988306
3207,0.13294418
1427,0.99963343
6944,0.375481
6345,0.42517036
2959,0.99986327
8556,0.67159855
23,0.934516
3224,0.49922478
1564,0.9998454
7564,0.58588386
8922,0.29540893
2748,0.9207139
8303,0.5913946
1631,0.99987197
7579,0.5570959
1138,0.9997589
9547,0.30813956
3593,0.4290131
5075,0.20892443
1833,0.99951243
3328,0.77083683
1784,0.9997787
10236,0.40604
6637,0.91177803
6702,0.3065934
9658,0.15400979
5272,0.6541527
8722,0.46518826
4315,0.19180068
57,0.9998977
8750,0.2520618
6110,0.39757484
10186,0.65279186
8617,0.5374355
515,0.9571857
8871,0.51540846
6219,0.3396868
6572,0.12671734
6537,0.65657896
1948,0.99986637
3181,0.4325037
126,0.9997553
1893,0.9998616
9398,0.56258357
5266,0.4885461
9606,0.42047945
1389,0.999948
4628,0.3550986
2084,0.9994293
3556,0.37592757
9133,0.40527818
7145,0.6586293
3707,0.43189278
5189,0.6873395
2186,0.74372476
744,0.999448
6335,0.396656
226,0.99973005
3878,0.3802884
7734,0.17579317
2062,0.9997682
326,0.9998229
9754,0.46527404
7495,0.2279658
2288,0.9926615
6951,0.24392529
154,0.9999342
6120,0.27162528
9429,0.18271905
2558,0.9998274
3424,0.14465609
2247,0.9993358
1383,0.99962664
937,0.9996563
5651,0.48469463
4078,0.43048227
7853,0.36252317
8954,0.17797546
1392,0.9815067
909,0.9998042
3491,0.34324685
8435,0.35428464
4537,0.39559194
6889,0.28738058
931,0.9552788
9634,0.1539093
8870,0.7345237
5998,0.7147517
59,0.99945277
2265,0.99981576
3549,0.4148274
4242,0.37433085
6154,0.82656354
4441,0.42380422
9525,0.36290228
1064,0.9998591
10538,0.5955953
8725,0.35658047
170,0.9998258
9151,0.18677492
1867,0.9995415
1760,0.99061906
961,0.9999399
4079,0.6288858
9275,0.5615509
4500,0.52130026
9155,0.50868064
7158,0.121316545
8979,0.502586
10967,0.3613896
3896,0.30926773
1542,0.9992329
6859,0.47247943
10995,0.5861399
7572,0.40072143
7062,0.70899534
1944,0.9998281
4048,0.479097
10956,0.14763954
5250,0.68221045
6011,0.37791106
3979,0.34074455
8460,0.5080816
4846,0.2489813
7885,0.18713008
9725,0.41614765
3428,0.39199272
4875,0.5259689
7968,0.20854294
1798,0.98110896
6047,0.35789984
2823,0.99991643
9172,0.298126
1585,0.99966574
4566,0.6066269
6996,0.36159158
6758,0.20016852
8166,0.15073338
1361,0.99985003
6607,0.99495715
4045,0.5031233
6554,0.066259876
1451,0.99958533
1836,0.99980396
2012,0.999788
7997,0.5051066
9085,0.11849732
297,0.9998616
9503,0.25391215
8372,0.14634772
10392,0.4907784
1632,0.9996669
7183,0.9574821
8536,0.8484898
653,0.9995172
9833,0.38629368
7609,0.6860267
5659,0.41920042
2848,0.9998826
580,0.9998317
8328,0.36167228
6943,0.63709587
4885,0.53776646
4010,0.0832946
9114,0.8575119
5648,0.5907145
10346,0.4141872
9197,0.31560588
4160,0.32911298
9661,0.50514466
6108,0.26574907
2500,0.98537016
5449,0.7193407
10525,0.4629265
5658,0.49073973
